Category,Metric,varianta_using_xms Mean,variantb_no_xms Mean,varianta_using_xms P50,variantb_no_xms P50,varianta_using_xms P90,variantb_no_xms P90,Unit
:core:datastore:compileProdDebugKotlin,Size of shrunk classpath snapshot,77.9,77.9,78,78,78,78,KB
:core:datastore:compileProdDebugKotlin,Compiler IR generation line number,441,441,441,441,441,441,
:core:datastore:compileProdDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore:compileProdDebugKotlin,Analysis lines per second,731,633,707,602,908,958,
:core:datastore:compileProdDebugKotlin,Total size of the cache directory,531.6,531.6,532,532,532,532,KB
:core:datastore:compileProdDebugKotlin,Compiler IR translation line number,441,441,441,441,441,441,
:core:datastore:compileProdDebugKotlin,Code generation lines per second,1038,944,986,895,1410,1250,
:core:datastore:compileProdDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:core:datastore:compileProdDebugKotlin,Compiler IR lowering line number,441,441,441,441,441,441,
:core:datastore:compileProdDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore:compileProdDebugKotlin,Size of classpath snapshot,2.9,2.9,3,3,3,3,MB
:core:datastore:compileProdDebugKotlin,Start gradle worker,2.98,8.96,2,1,5,5,ms
:core:datastore:compileProdDebugKotlin,Save shrunk current classpath snapshot,3.36,2.47,3,3,6,5,ms
:core:datastore:compileProdDebugKotlin,Write history file,2.0,2.0,2,2,3,3,ms
:core:datastore:compileProdDebugKotlin,Store build info,2.0,,2,,2,,ms
:core:datastore-proto:compileDemoDebugKotlin,Update caches,15.78,17.14,14,14,24,30,ms
:core:datastore-proto:compileDemoDebugKotlin,Start gradle worker,5.6,5.28,2,2,17,12,ms
:core:datastore-proto:compileDemoDebugKotlin,Load current classpath snapshot,15.68,18.48,15,17,23,24,ms
:core:datastore-proto:compileDemoDebugKotlin,Total Gradle task time,4728.44,4633.66,4725,4589,5120,5026,ms
:core:datastore-proto:compileDemoDebugKotlin,Sources compilation round,4224.28,4118.22,4200,4131,4668,4502,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler code generation,743.88,695.46,754,693,855,831,ms
:core:datastore-proto:compileDemoDebugKotlin,Shrink current classpath snapshot non-incrementally,66.8,71.4,68,63,86,114,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR generation,462.02,434.56,462,424,554,555,ms
:core:datastore-proto:compileDemoDebugKotlin,Spent time before task action,76.54,74.68,74,72,97,108,ms
:core:datastore-proto:compileDemoDebugKotlin,Connect to Kotlin daemon,31.88,23.2,22,22,86,31,ms
:core:datastore-proto:compileDemoDebugKotlin,Run compilation,4489.32,4395.22,4476,4368,4921,4739,ms
:core:datastore-proto:compileDemoDebugKotlin,Incremental compilation in daemon,4447.12,4356.32,4414,4338,4881,4686,ms
:core:datastore-proto:compileDemoDebugKotlin,Task action before worker execution,24.72,27.8,24,23,32,36,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler code analysis,3119.92,3071.18,3064,3054,3541,3343,ms
:core:datastore-proto:compileDemoDebugKotlin,Calculate output size,2.72,2.66,1,2,6,4,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR lowering,281.28,260.32,285,253,345,317,ms
:core:datastore-proto:compileDemoDebugKotlin,Shrink and save current classpath snapshot after compilation,67.94,72.62,70,65,89,115,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR translation,297.18,292.72,305,298,390,375,ms
:core:datastore-proto:compileDemoDebugKotlin,Clear jar cache,2.65,3.23,2,2,5,6,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler initialization time,52.96,48.8,46,44,107,74,ms
:core:datastore-proto:compileDemoDebugKotlin,Run compilation in Gradle worker,4530.02,4426.34,4512,4401,4950,4765,ms
:core:datastore-proto:compileDemoDebugKotlin,Number of cache hits when loading classpath entry snapshots,6,6,6,6,6,6,
:core:datastore-proto:compileDemoDebugKotlin,Number of lines for code generation,843,843,843,843,843,843,
:core:datastore-proto:compileDemoDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore-proto:compileDemoDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore-proto:compileDemoDebugKotlin,Number of classpath entries,9,9,9,9,9,9,
:core:datastore-proto:compileDemoDebugKotlin,Number of lines analyzed,843,843,843,843,843,843,
:core:datastore-proto:compileDemoDebugKotlin,Size of shrunk classpath snapshot,3.2,3.2,3,3,3,3,KB
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR generation line number,843,843,843,843,843,843,
:core:datastore-proto:compileDemoDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore-proto:compileDemoDebugKotlin,Analysis lines per second,271,275,275,276,294,303,
:core:datastore-proto:compileDemoDebugKotlin,Total size of the cache directory,585.2,585.2,585,585,585,585,KB
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR translation line number,843,843,843,843,843,843,
:core:datastore-proto:compileDemoDebugKotlin,Code generation lines per second,1149,1236,1119,1216,1312,1486,
:core:datastore-proto:compileDemoDebugKotlin,Number of cache misses when loading classpath entry snapshots,3,3,3,3,3,3,
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR lowering line number,843,843,843,843,843,843,
:core:datastore-proto:compileDemoDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore-proto:compileDemoDebugKotlin,Size of classpath snapshot,1.9,1.9,2,2,2,2,MB
:core:datastore-proto:compileDemoDebugKotlin,Save shrunk current classpath snapshot,3.14,3.6,3,3,6,6,ms
:core:datastore-proto:compileDemoDebugKotlin,Store build info,3.67,3.5,4,4,4,4,ms
:core:datastore-proto:compileDemoDebugKotlin,Clear outputs on rebuild,2.0,2.0,2,2,2,2,ms
:core:datastore-proto:compileDemoDebugKotlin,Write history file,2.0,4.0,2,4,2,4,ms
:core:datastore-proto:compileProdDebugKotlin,Update caches,6.18,5.78,6,6,9,9,ms
:core:datastore-proto:compileProdDebugKotlin,Start gradle worker,24.0,43.28,3,3,108,278,ms
:core:datastore-proto:compileProdDebugKotlin,Load current classpath snapshot,2.88,3.2,2,3,7,7,ms
:core:datastore-proto:compileProdDebugKotlin,Total Gradle task time,1629.42,1627.68,1622,1566,2060,1951,ms
:core:datastore-proto:compileProdDebugKotlin,Sources compilation round,1353.58,1334.34,1317,1282,1740,1621,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler code generation,170.74,171.64,164,162,239,253,ms
:core:datastore-proto:compileProdDebugKotlin,Shrink current classpath snapshot non-incrementally,21.54,21.32,22,20,34,34,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler IR generation,96.4,95.68,97,89,132,141,ms
:core:datastore-proto:compileProdDebugKotlin,Spent time before task action,16.0,16.16,16,16,20,23,ms
:core:datastore-proto:compileProdDebugKotlin,Connect to Kotlin daemon,14.08,13.06,11,10,18,19,ms
:core:datastore-proto:compileProdDebugKotlin,Run compilation,1483.0,1459.58,1445,1399,1898,1761,ms
:core:datastore-proto:compileProdDebugKotlin,Incremental compilation in daemon,1461.82,1437.98,1428,1375,1877,1732,ms
:core:datastore-proto:compileProdDebugKotlin,Task action before worker execution,19.26,17.7,18,18,27,27,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler code analysis,1062.58,1031.4,1035,1004,1429,1265,ms
:core:datastore-proto:compileProdDebugKotlin,Calculate output size,2.36,2.02,2,1,4,4,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler IR lowering,73.94,75.46,69,71,99,119,ms
:core:datastore-proto:compileProdDebugKotlin,Shrink and save current classpath snapshot after compilation,22.12,21.86,22,21,34,34,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler IR translation,97.76,99.24,91,92,125,145,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler initialization time,15.86,25.96,12,15,32,78,ms
:core:datastore-proto:compileProdDebugKotlin,Run compilation in Gradle worker,1501.52,1478.22,1485,1425,1917,1780,ms
:core:datastore-proto:compileProdDebugKotlin,Number of cache hits when loading classpath entry snapshots,9,8,9,9,9,9,
:core:datastore-proto:compileProdDebugKotlin,Number of lines for code generation,843,843,843,843,843,843,
:core:datastore-proto:compileProdDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore-proto:compileProdDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore-proto:compileProdDebugKotlin,Number of classpath entries,9,9,9,9,9,9,
:core:datastore-proto:compileProdDebugKotlin,Number of lines analyzed,843,843,843,843,843,843,
:core:datastore-proto:compileProdDebugKotlin,Size of shrunk classpath snapshot,3.2,3.2,3,3,3,3,KB
:core:datastore-proto:compileProdDebugKotlin,Compiler IR generation line number,843,843,843,843,843,843,
:core:datastore-proto:compileProdDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore-proto:compileProdDebugKotlin,Analysis lines per second,816,836,815,840,964,1050,
:core:datastore-proto:compileProdDebugKotlin,Total size of the cache directory,585.2,585.2,585,585,585,585,KB
:core:datastore-proto:compileProdDebugKotlin,Compiler IR translation line number,843,843,843,843,843,843,
:core:datastore-proto:compileProdDebugKotlin,Code generation lines per second,5284,5405,5140,5220,7261,7656,
:core:datastore-proto:compileProdDebugKotlin,Compiler IR lowering line number,843,843,843,843,843,843,
:core:datastore-proto:compileProdDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore-proto:compileProdDebugKotlin,Size of classpath snapshot,1.9,1.9,2,2,2,2,MB
:core:datastore-proto:compileProdDebugKotlin,Clear jar cache,2.24,2.15,2,1,5,4,ms
:core:datastore-proto:compileProdDebugKotlin,Store build info,5.0,,5,,5,,ms
:core:datastore-proto:compileProdDebugKotlin,Clear outputs on rebuild,1.5,2.0,2,2,2,2,ms
:core:datastore-proto:compileProdDebugKotlin,Clear output,1.0,2.67,1,3,1,4,ms
:core:datastore-proto:compileProdDebugKotlin,Save shrunk current classpath snapshot,3.0,3.0,3,3,3,3,ms
:core:datastore-proto:compileProdDebugKotlin,Write history file,2.5,3.0,3,3,3,4,ms
:core:datastore-test:compileDemoDebugKotlin,Start gradle worker,12.89,13.1,1,3,10,18,ms
:core:datastore-test:compileDemoDebugKotlin,Load current classpath snapshot,2.86,4.12,1,4,7,9,ms
:core:datastore-test:compileDemoDebugKotlin,Total Gradle task time,697.26,652.88,644,624,908,820,ms
:core:datastore-test:compileDemoDebugKotlin,Save shrunk current classpath snapshot,4.0,3.75,3,4,7,6,ms
:core:datastore-test:compileDemoDebugKotlin,Sources compilation round,368.96,367.48,361,350,478,465,ms
:core:datastore-test:compileDemoDebugKotlin,Compiler code generation,73.34,78.16,74,77,100,122,ms
:core:datastore-test:compileDemoDebugKotlin,Shrink current classpath snapshot non-incrementally,30.18,33.3,26,29,41,56,ms
:core:datastore-test:compileDemoDebugKotlin,Compiler IR generation,24.92,25.86,25,26,37,36,ms
:core:datastore-test:compileDemoDebugKotlin,Spent time before task action,24.9,23.9,21,21,35,37,ms
:core:datastore-test:compileDemoDebugKotlin,Connect to Kotlin daemon,12.18,10.9,9,9,19,18,ms
:core:datastore-test:compileDemoDebugKotlin,Run compilation,504.64,499.06,476,479,649,625,ms
:core:datastore-test:compileDemoDebugKotlin,Incremental compilation in daemon,481.18,473.72,456,446,612,591,ms
:core:datastore-test:compileDemoDebugKotlin,Task action before worker execution,33.2,32.18,25,24,62,56,ms
:core:datastore-test:compileDemoDebugKotlin,Compiler code analysis,211.16,207.38,202,192,288,289,ms
:core:datastore-test:compileDemoDebugKotlin,Calculate output size,2.4,2.14,1,1,5,6,ms
:core:datastore-test:compileDemoDebugKotlin,Compiler IR lowering,47.84,51.72,49,48,66,82,ms
:core:datastore-test:compileDemoDebugKotlin,Shrink and save current classpath snapshot after compilation,31.26,34.88,27,30,42,59,ms
:core:datastore-test:compileDemoDebugKotlin,Compiler IR translation,43.86,43.26,42,41,59,57,ms
:core:datastore-test:compileDemoDebugKotlin,Write history file,2.0,2.0,2,2,2,2,ms
:core:datastore-test:compileDemoDebugKotlin,Compiler initialization time,33.7,32.32,33,32,48,47,ms
:core:datastore-test:compileDemoDebugKotlin,Run compilation in Gradle worker,519.38,513.58,487,490,662,640,ms
:core:datastore-test:compileDemoDebugKotlin,Number of cache hits when loading classpath entry snapshots,55,54,55,55,56,56,
:core:datastore-test:compileDemoDebugKotlin,Number of lines for code generation,70,70,70,70,70,70,
:core:datastore-test:compileDemoDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore-test:compileDemoDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore-test:compileDemoDebugKotlin,Number of classpath entries,56,56,56,56,56,56,
:core:datastore-test:compileDemoDebugKotlin,Number of lines analyzed,70,70,70,70,70,70,
:core:datastore-test:compileDemoDebugKotlin,Size of shrunk classpath snapshot,18.2,18.2,18,18,18,18,KB
:core:datastore-test:compileDemoDebugKotlin,Compiler IR generation line number,70,70,70,70,70,70,
:core:datastore-test:compileDemoDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore-test:compileDemoDebugKotlin,Analysis lines per second,359,365,346,365,507,530,
:core:datastore-test:compileDemoDebugKotlin,Total size of the cache directory,445.2,445.2,445,445,445,445,KB
:core:datastore-test:compileDemoDebugKotlin,Compiler IR translation line number,70,70,70,70,70,70,
:core:datastore-test:compileDemoDebugKotlin,Code generation lines per second,1017,1011,945,915,1590,1518,
:core:datastore-test:compileDemoDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:core:datastore-test:compileDemoDebugKotlin,Compiler IR lowering line number,70,70,70,70,70,70,
:core:datastore-test:compileDemoDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore-test:compileDemoDebugKotlin,Size of classpath snapshot,3.0,3.0,3,3,3,3,MB
:core:datastore-test:compileDemoDebugKotlin,Update caches,2.46,2.54,2,3,4,5,ms
:core:datastore-test:compileDemoDebugKotlin,Clear jar cache,1.67,2.15,1,2,3,4,ms
:core:datastore-test:compileDemoDebugKotlin,Clear outputs on rebuild,2.0,,2,,2,,ms
:core:datastore-test:compileDemoDebugKotlin,Clear output,2.0,3.0,2,3,3,3,ms
:core:datastore-test:compileProdDebugKotlin,Start gradle worker,4.86,3.3,3,3,8,7,ms
:core:datastore-test:compileProdDebugKotlin,Load current classpath snapshot,5.09,12.38,3,4,6,9,ms
:core:datastore-test:compileProdDebugKotlin,Total Gradle task time,641.22,665.82,594,609,815,906,ms
:core:datastore-test:compileProdDebugKotlin,Sources compilation round,359.82,367.74,349,348,469,501,ms
:core:datastore-test:compileProdDebugKotlin,Compiler code generation,77.8,80.72,76,72,105,125,ms
:core:datastore-test:compileProdDebugKotlin,Shrink current classpath snapshot non-incrementally,29.2,41.74,24,30,42,59,ms
:core:datastore-test:compileProdDebugKotlin,Compiler IR generation,27.98,28.38,27,25,38,39,ms
:core:datastore-test:compileProdDebugKotlin,Spent time before task action,22.68,23.54,22,21,32,35,ms
:core:datastore-test:compileProdDebugKotlin,Connect to Kotlin daemon,11.76,10.72,9,10,17,18,ms
:core:datastore-test:compileProdDebugKotlin,Run compilation,496.76,514.56,463,470,649,764,ms
:core:datastore-test:compileProdDebugKotlin,Incremental compilation in daemon,474.6,485.9,440,454,604,649,ms
:core:datastore-test:compileProdDebugKotlin,Task action before worker execution,28.16,34.46,27,25,48,69,ms
:core:datastore-test:compileProdDebugKotlin,Compiler code analysis,198.82,205.22,186,189,249,295,ms
:core:datastore-test:compileProdDebugKotlin,Calculate output size,2.62,2.48,2,2,6,5,ms
:core:datastore-test:compileProdDebugKotlin,Compiler IR lowering,49.24,51.88,48,49,69,81,ms
:core:datastore-test:compileProdDebugKotlin,Shrink and save current classpath snapshot after compilation,30.62,43.9,26,31,46,63,ms
:core:datastore-test:compileProdDebugKotlin,Compiler IR translation,44.42,45.0,44,40,56,77,ms
:core:datastore-test:compileProdDebugKotlin,Compiler initialization time,32.14,30.62,33,31,49,56,ms
:core:datastore-test:compileProdDebugKotlin,Run compilation in Gradle worker,511.82,528.06,475,483,664,775,ms
:core:datastore-test:compileProdDebugKotlin,Number of cache hits when loading classpath entry snapshots,55,55,56,56,56,56,
:core:datastore-test:compileProdDebugKotlin,Number of lines for code generation,70,70,70,70,70,70,
:core:datastore-test:compileProdDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore-test:compileProdDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore-test:compileProdDebugKotlin,Number of classpath entries,56,56,56,56,56,56,
:core:datastore-test:compileProdDebugKotlin,Number of lines analyzed,70,70,70,70,70,70,
:core:datastore-test:compileProdDebugKotlin,Size of shrunk classpath snapshot,18.2,18.2,18,18,18,18,KB
:core:datastore-test:compileProdDebugKotlin,Compiler IR generation line number,70,70,70,70,70,70,
:core:datastore-test:compileProdDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore-test:compileProdDebugKotlin,Analysis lines per second,368,368,376,370,437,462,
:core:datastore-test:compileProdDebugKotlin,Total size of the cache directory,445.2,445.2,445,445,445,445,KB
:core:datastore-test:compileProdDebugKotlin,Compiler IR translation line number,70,70,70,70,70,70,
:core:datastore-test:compileProdDebugKotlin,Code generation lines per second,1014,1003,921,972,1548,1724,
:core:datastore-test:compileProdDebugKotlin,Compiler IR lowering line number,70,70,70,70,70,70,
:core:datastore-test:compileProdDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore-test:compileProdDebugKotlin,Size of classpath snapshot,3.0,3.0,3,3,3,3,MB
:core:datastore-test:compileProdDebugKotlin,Save shrunk current classpath snapshot,3.29,5.73,3,3,6,18,ms
:core:datastore-test:compileProdDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,2,1,1,1,9,
:core:datastore-test:compileProdDebugKotlin,Update caches,5.13,3.38,3,3,15,6,ms
:core:datastore-test:compileProdDebugKotlin,Store build info,2.0,3.0,2,3,2,3,ms
:core:datastore-test:compileProdDebugKotlin,Clear outputs on rebuild,1.0,2.0,1,2,1,2,ms
:core:datastore-test:compileProdDebugKotlin,Clear output,2.75,2.67,3,1,5,6,ms
:core:datastore-test:compileProdDebugKotlin,Clear jar cache,2.67,1.71,2,1,9,3,ms
:core:datastore-test:compileProdDebugKotlin,Write history file,2.0,,2,,2,,ms
:core:data-test:compileDemoDebugKotlin,Update caches,3.54,1.9,1,1,4,5,ms
:core:data-test:compileDemoDebugKotlin,Start gradle worker,292.94,273.41,315,347,540,577,ms
:core:data-test:compileDemoDebugKotlin,Store build info,2.0,,2,,3,,ms
:core:data-test:compileDemoDebugKotlin,Load current classpath snapshot,5.6,6.42,5,6,11,11,ms
:core:data-test:compileDemoDebugKotlin,Total Gradle task time,1220.76,1250.84,1189,1245,1684,1574,ms
:core:data-test:compileDemoDebugKotlin,Sources compilation round,631.98,668.5,615,606,792,912,ms
:core:data-test:compileDemoDebugKotlin,Compiler code generation,159.78,183.54,154,175,220,240,ms
:core:data-test:compileDemoDebugKotlin,Shrink current classpath snapshot non-incrementally,25.66,27.14,27,30,38,42,ms
:core:data-test:compileDemoDebugKotlin,Compiler IR generation,83.6,95.78,87,84,113,126,ms
:core:data-test:compileDemoDebugKotlin,Spent time before task action,30.6,28.18,27,29,47,38,ms
:core:data-test:compileDemoDebugKotlin,Connect to Kotlin daemon,10.76,13.24,10,9,18,18,ms
:core:data-test:compileDemoDebugKotlin,Run compilation,749.46,788.26,739,724,946,1089,ms
:core:data-test:compileDemoDebugKotlin,Incremental compilation in daemon,721.64,762.68,724,706,913,1067,ms
:core:data-test:compileDemoDebugKotlin,Task action before worker execution,27.98,31.46,27,25,42,43,ms
:core:data-test:compileDemoDebugKotlin,Compiler code analysis,380.4,392.94,382,370,475,534,ms
:core:data-test:compileDemoDebugKotlin,Calculate output size,2.02,1.8,1,1,4,4,ms
:core:data-test:compileDemoDebugKotlin,Compiler IR lowering,75.62,87.22,74,89,107,134,ms
:core:data-test:compileDemoDebugKotlin,Shrink and save current classpath snapshot after compilation,27.94,29.1,30,32,41,46,ms
:core:data-test:compileDemoDebugKotlin,Compiler IR translation,44.06,47.1,43,46,69,76,ms
:core:data-test:compileDemoDebugKotlin,Compiler initialization time,41.16,37.54,37,34,61,60,ms
:core:data-test:compileDemoDebugKotlin,Run compilation in Gradle worker,762.7,804.74,751,736,962,1109,ms
:core:data-test:compileDemoDebugKotlin,Number of cache hits when loading classpath entry snapshots,52,52,52,52,52,59,
:core:data-test:compileDemoDebugKotlin,Number of lines for code generation,405,405,405,405,405,405,
:core:data-test:compileDemoDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:data-test:compileDemoDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:data-test:compileDemoDebugKotlin,Number of classpath entries,59,59,59,59,59,59,
:core:data-test:compileDemoDebugKotlin,Number of lines analyzed,405,405,405,405,405,405,
:core:data-test:compileDemoDebugKotlin,Size of shrunk classpath snapshot,78.5,78.5,79,79,79,79,KB
:core:data-test:compileDemoDebugKotlin,Compiler IR generation line number,405,405,405,405,405,405,
:core:data-test:compileDemoDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:data-test:compileDemoDebugKotlin,Analysis lines per second,1132,1107,1060,1095,1494,1549,
:core:data-test:compileDemoDebugKotlin,Total size of the cache directory,480.0,480.0,480,480,480,480,KB
:core:data-test:compileDemoDebugKotlin,Compiler IR translation line number,405,405,405,405,405,405,
:core:data-test:compileDemoDebugKotlin,Code generation lines per second,2753,2541,2633,2314,4009,3876,
:core:data-test:compileDemoDebugKotlin,Number of cache misses when loading classpath entry snapshots,7,7,7,7,7,12,
:core:data-test:compileDemoDebugKotlin,Compiler IR lowering line number,405,405,405,405,405,405,
:core:data-test:compileDemoDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:data-test:compileDemoDebugKotlin,Size of classpath snapshot,3.4,3.4,3,3,3,3,MB
:core:data-test:compileDemoDebugKotlin,Save shrunk current classpath snapshot,3.33,3.0,3,3,6,9,ms
:core:data-test:compileDemoDebugKotlin,Clear jar cache,1.13,2.1,1,2,2,5,ms
:core:data-test:compileDemoDebugKotlin,Clear output,3.5,3.17,4,3,5,6,ms
:core:data-test:compileDemoDebugKotlin,Write history file,1.5,2.0,2,1,2,5,ms
:core:data-test:compileDemoDebugKotlin,Clear outputs on rebuild,2.0,6.5,2,7,2,11,ms
:core:data-test:compileProdDebugKotlin,Update caches,2.02,2.06,1,1,5,4,ms
:core:data-test:compileProdDebugKotlin,Load current classpath snapshot,4.74,5.52,4,5,10,10,ms
:core:data-test:compileProdDebugKotlin,Total Gradle task time,1112.74,1081.96,1087,1073,1454,1342,ms
:core:data-test:compileProdDebugKotlin,Sources compilation round,621.64,648.2,602,595,832,858,ms
:core:data-test:compileProdDebugKotlin,Compiler code generation,160.2,174.72,145,179,238,242,ms
:core:data-test:compileProdDebugKotlin,Shrink current classpath snapshot non-incrementally,36.48,32.78,30,29,51,56,ms
:core:data-test:compileProdDebugKotlin,Compiler IR generation,78.82,90.34,74,92,116,132,ms
:core:data-test:compileProdDebugKotlin,Spent time before task action,18.74,25.78,18,23,28,38,ms
:core:data-test:compileProdDebugKotlin,Connect to Kotlin daemon,10.68,10.0,9,8,16,17,ms
:core:data-test:compileProdDebugKotlin,Run compilation,754.18,775.6,718,737,986,991,ms
:core:data-test:compileProdDebugKotlin,Incremental compilation in daemon,726.52,749.34,691,711,960,949,ms
:core:data-test:compileProdDebugKotlin,Task action before worker execution,22.32,25.58,20,21,37,40,ms
:core:data-test:compileProdDebugKotlin,Compiler code analysis,362.14,379.36,374,347,518,514,ms
:core:data-test:compileProdDebugKotlin,Calculate output size,1.68,1.62,1,1,4,4,ms
:core:data-test:compileProdDebugKotlin,Compiler IR lowering,80.9,83.9,77,87,120,110,ms
:core:data-test:compileProdDebugKotlin,Shrink and save current classpath snapshot after compilation,38.4,34.94,32,30,52,61,ms
:core:data-test:compileProdDebugKotlin,Compiler IR translation,49.58,48.6,50,50,66,75,ms
:core:data-test:compileProdDebugKotlin,Compiler initialization time,40.42,37.72,34,32,73,67,ms
:core:data-test:compileProdDebugKotlin,Run compilation in Gradle worker,767.7,788.7,749,748,1001,1012,ms
:core:data-test:compileProdDebugKotlin,Number of cache hits when loading classpath entry snapshots,58,57,59,59,59,59,
:core:data-test:compileProdDebugKotlin,Number of lines for code generation,405,405,405,405,405,405,
:core:data-test:compileProdDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:data-test:compileProdDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:data-test:compileProdDebugKotlin,Number of classpath entries,59,59,59,59,59,59,
:core:data-test:compileProdDebugKotlin,Number of lines analyzed,405,405,405,405,405,405,
:core:data-test:compileProdDebugKotlin,Size of shrunk classpath snapshot,78.5,78.5,79,79,79,79,KB
:core:data-test:compileProdDebugKotlin,Compiler IR generation line number,405,405,405,405,405,405,
:core:data-test:compileProdDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:data-test:compileProdDebugKotlin,Analysis lines per second,1222,1203,1084,1167,1745,1790,
:core:data-test:compileProdDebugKotlin,Total size of the cache directory,480.0,480.0,480,480,480,480,KB
:core:data-test:compileProdDebugKotlin,Compiler IR translation line number,405,405,405,405,405,405,
:core:data-test:compileProdDebugKotlin,Code generation lines per second,2762,2530,2803,2262,3921,3747,
:core:data-test:compileProdDebugKotlin,Compiler IR lowering line number,405,405,405,405,405,405,
:core:data-test:compileProdDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:data-test:compileProdDebugKotlin,Size of classpath snapshot,3.4,3.4,3,3,3,3,MB
:core:data-test:compileProdDebugKotlin,Save shrunk current classpath snapshot,2.91,3.67,3,3,9,6,ms
:core:data-test:compileProdDebugKotlin,Start gradle worker,50.04,45.59,2,3,296,172,ms
:core:data-test:compileProdDebugKotlin,Number of cache misses when loading classpath entry snapshots,7,6,7,7,7,7,
:core:data-test:compileProdDebugKotlin,Clear output,2.0,4.0,2,4,3,4,ms
:core:data-test:compileProdDebugKotlin,Clear jar cache,2.71,1.67,2,1,8,4,ms
:core:data-test:compileProdDebugKotlin,Clear outputs on rebuild,3.0,2.0,3,2,3,2,ms
:core:data-test:compileProdDebugKotlin,Store build info,2.5,,3,,3,,ms
:core:data-test:compileProdDebugKotlin,Write history file,3.0,,3,,3,,ms
:core:designsystem:compileDemoDebugKotlin,Update caches,43.86,50.24,44,46,58,71,ms
:core:designsystem:compileDemoDebugKotlin,Start gradle worker,3.98,4.56,3,4,8,9,ms
:core:designsystem:compileDemoDebugKotlin,Load current classpath snapshot,154.14,154.22,146,147,212,215,ms
:core:designsystem:compileDemoDebugKotlin,Total Gradle task time,18106.56,18775.58,18086,18808,19643,20592,ms
:core:designsystem:compileDemoDebugKotlin,Save shrunk current classpath snapshot,3.82,4.7,4,4,8,9,ms
:core:designsystem:compileDemoDebugKotlin,Sources compilation round,16825.1,17385.16,16754,17394,18318,19022,ms
:core:designsystem:compileDemoDebugKotlin,Compiler code generation,6400.14,6695.78,6435,6695,7079,7329,ms
:core:designsystem:compileDemoDebugKotlin,Shrink current classpath snapshot non-incrementally,250.76,248.14,251,248,333,327,ms
:core:designsystem:compileDemoDebugKotlin,Compiler IR generation,3544.34,3800.92,3477,3753,4081,4373,ms
:core:designsystem:compileDemoDebugKotlin,Spent time before task action,236.44,244.46,235,236,303,319,ms
:core:designsystem:compileDemoDebugKotlin,Connect to Kotlin daemon,22.28,25.64,20,21,32,37,ms
