Category,Metric,varianta_main_r8 Mean,variantb_r8_different_process Mean,varianta_main_r8 P50,variantb_r8_different_process P50,varianta_main_r8 P90,variantb_r8_different_process P90,Unit
:core:datastore:compileDemoReleaseKotlin,Incremental compilation in daemon,3751.4,3727.96,3695,3736,4182,4049,ms
:core:datastore:compileDemoReleaseKotlin,Task action before worker execution,32.2,28.7,30,29,43,39,ms
:core:datastore:compileDemoReleaseKotlin,Sources compilation round,3496.74,3493.9,3431,3512,3939,3808,ms
:core:datastore:compileDemoReleaseKotlin,Clear output,4.67,1.0,6,1,7,1,ms
:core:datastore:compileDemoReleaseKotlin,Connect to Kotlin daemon,23.64,20.38,19,20,37,30,ms
:core:datastore:compileDemoReleaseKotlin,Clear jar cache,2.76,2.62,2,2,5,5,ms
:core:datastore:compileDemoReleaseKotlin,Spent time before task action,36.38,37.78,37,34,47,48,ms
:core:datastore:compileDemoReleaseKotlin,Compiler initialization time,63.82,56.62,64,52,90,83,ms
:core:datastore:compileDemoReleaseKotlin,Calculate output size,1.88,2.24,1,1,4,5,ms
:core:datastore:compileDemoReleaseKotlin,Compiler IR lowering,518.82,526.38,506,518,617,688,ms
:core:datastore:compileDemoReleaseKotlin,Shrink current classpath snapshot non-incrementally,98.32,92.04,96,91,137,140,ms
:core:datastore:compileDemoReleaseKotlin,Run compilation,3796.28,3771.56,3740,3768,4240,4085,ms
:core:datastore:compileDemoReleaseKotlin,Total size of the cache directory,531.8,531.8,532,532,532,532,KB
:core:datastore:compileDemoReleaseKotlin,Number of lines analyzed,441,441,441,441,441,441,
:core:datastore:compileDemoReleaseKotlin,Size of classpath snapshot,2.9,2.9,3,3,3,3,MB
:core:datastore:compileDemoReleaseKotlin,Number of lines for code generation,441,441,441,441,441,441,
:core:datastore:compileDemoReleaseKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore:compileDemoReleaseKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore:compileDemoReleaseKotlin,Code generation lines per second,297,293,294,300,339,333,
:core:datastore:compileDemoReleaseKotlin,Analysis lines per second,261,259,260,259,310,288,
:core:datastore:compileDemoReleaseKotlin,Number of cache hits when loading classpath entry snapshots,35,35,35,35,35,35,
:core:datastore:compileDemoReleaseKotlin,Compiler IR generation line number,441,441,441,441,441,441,
:core:datastore:compileDemoReleaseKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore:compileDemoReleaseKotlin,Number of cache misses when loading classpath entry snapshots,13,13,14,14,14,14,
:core:datastore:compileDemoReleaseKotlin,Compiler IR translation line number,441,441,441,441,441,441,
:core:datastore:compileDemoReleaseKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore:compileDemoReleaseKotlin,Number of classpath entries,49,49,49,49,49,49,
:core:datastore:compileDemoReleaseKotlin,Size of shrunk classpath snapshot,77.9,77.9,78,78,78,78,KB
:core:datastore:compileDemoReleaseKotlin,Compiler IR lowering line number,441,441,441,441,441,441,
:core:datastore:compileDemoReleaseKotlin,Write history file,3.0,4.0,3,4,3,7,ms
:core:datastore:compileDemoReleaseKotlin,Store build info,1.67,2.0,1,2,3,2,ms
:core:datastore:compileProdReleaseKotlin,Update caches,4.82,5.32,5,5,8,10,ms
:core:datastore:compileProdReleaseKotlin,Total Gradle task time,1636.56,1899.64,1584,1926,2082,2194,ms
:core:datastore:compileProdReleaseKotlin,Compiler code generation,504.92,546.98,478,539,660,647,ms
:core:datastore:compileProdReleaseKotlin,Compiler code analysis,668.62,852.32,643,858,858,1090,ms
:core:datastore:compileProdReleaseKotlin,Shrink and save current classpath snapshot after compilation,32.6,42.04,34,39,46,52,ms
:core:datastore:compileProdReleaseKotlin,Compiler IR generation,285.48,316.74,267,302,384,414,ms
:core:datastore:compileProdReleaseKotlin,Load current classpath snapshot,6.28,10.78,6,7,9,15,ms
:core:datastore:compileProdReleaseKotlin,Run compilation in Gradle worker,1473.44,1731.36,1435,1739,1961,2004,ms
:core:datastore:compileProdReleaseKotlin,Compiler IR translation,87.28,95.16,82,95,126,119,ms
:core:datastore:compileProdReleaseKotlin,Start gradle worker,4.3,8.36,2,3,6,7,ms
:core:datastore:compileProdReleaseKotlin,Incremental compilation in daemon,1419.12,1680.92,1342,1680,1910,1946,ms
:core:datastore:compileProdReleaseKotlin,Task action before worker execution,26.9,26.72,21,25,37,39,ms
:core:datastore:compileProdReleaseKotlin,Sources compilation round,1300.64,1547.9,1244,1565,1561,1811,ms
:core:datastore:compileProdReleaseKotlin,Connect to Kotlin daemon,19.14,13.5,13,12,27,24,ms
:core:datastore:compileProdReleaseKotlin,Clear jar cache,2.24,2.57,1,1,3,4,ms
:core:datastore:compileProdReleaseKotlin,Spent time before task action,24.16,24.76,18,26,25,33,ms
:core:datastore:compileProdReleaseKotlin,Compiler initialization time,33.08,45.12,32,40,48,67,ms
:core:datastore:compileProdReleaseKotlin,Calculate output size,2.14,2.44,1,1,4,6,ms
:core:datastore:compileProdReleaseKotlin,Compiler IR lowering,218.94,229.74,193,232,284,298,ms
:core:datastore:compileProdReleaseKotlin,Shrink current classpath snapshot non-incrementally,29.98,37.76,30,34,43,48,ms
:core:datastore:compileProdReleaseKotlin,Run compilation,1449.28,1711.94,1367,1718,1937,1984,ms
:core:datastore:compileProdReleaseKotlin,Total size of the cache directory,531.8,531.8,532,532,532,532,KB
:core:datastore:compileProdReleaseKotlin,Number of lines analyzed,441,441,441,441,441,441,
:core:datastore:compileProdReleaseKotlin,Size of classpath snapshot,2.9,2.9,3,3,3,3,MB
:core:datastore:compileProdReleaseKotlin,Number of lines for code generation,441,441,441,441,441,441,
:core:datastore:compileProdReleaseKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore:compileProdReleaseKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore:compileProdReleaseKotlin,Code generation lines per second,925,828,923,819,1170,1033,
:core:datastore:compileProdReleaseKotlin,Analysis lines per second,696,545,686,514,936,758,
:core:datastore:compileProdReleaseKotlin,Number of cache hits when loading classpath entry snapshots,48,48,48,48,48,48,
:core:datastore:compileProdReleaseKotlin,Compiler IR generation line number,441,441,441,441,441,441,
:core:datastore:compileProdReleaseKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore:compileProdReleaseKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:core:datastore:compileProdReleaseKotlin,Compiler IR translation line number,441,441,441,441,441,441,
:core:datastore:compileProdReleaseKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore:compileProdReleaseKotlin,Number of classpath entries,49,49,49,49,49,49,
:core:datastore:compileProdReleaseKotlin,Size of shrunk classpath snapshot,77.9,77.9,78,78,78,78,KB
:core:datastore:compileProdReleaseKotlin,Compiler IR lowering line number,441,441,441,441,441,441,
:core:datastore:compileProdReleaseKotlin,Save shrunk current classpath snapshot,3.09,6.33,2,3,7,9,ms
:core:datastore:compileProdReleaseKotlin,Clear output,2.6,3.2,2,3,6,5,ms
:core:datastore:compileProdReleaseKotlin,Clear outputs on rebuild,1.0,,1,,1,,ms
:core:datastore:compileProdReleaseKotlin,Write history file,2.5,3.0,3,3,3,3,ms
:core:datastore-proto:compileDemoReleaseKotlin,Update caches,20.06,19.44,19,19,32,26,ms
:core:datastore-proto:compileDemoReleaseKotlin,Total Gradle task time,5773.46,5693.12,5817,5704,6260,6241,ms
:core:datastore-proto:compileDemoReleaseKotlin,Compiler code generation,813.5,765.22,809,785,988,931,ms
:core:datastore-proto:compileDemoReleaseKotlin,Compiler code analysis,3888.46,3876.48,3907,3905,4250,4238,ms
:core:datastore-proto:compileDemoReleaseKotlin,Shrink and save current classpath snapshot after compilation,96.66,100.54,93,97,135,149,ms
:core:datastore-proto:compileDemoReleaseKotlin,Compiler IR generation,503.54,468.32,507,473,619,588,ms
:core:datastore-proto:compileDemoReleaseKotlin,Load current classpath snapshot,22.02,23.3,22,21,32,36,ms
:core:datastore-proto:compileDemoReleaseKotlin,Run compilation in Gradle worker,5559.54,5487.0,5614,5496,5997,6000,ms
:core:datastore-proto:compileDemoReleaseKotlin,Clear outputs on rebuild,2.0,4.0,2,4,3,6,ms
:core:datastore-proto:compileDemoReleaseKotlin,Compiler IR translation,362.54,362.96,360,352,481,465,ms
:core:datastore-proto:compileDemoReleaseKotlin,Start gradle worker,3.18,2.8,2,2,6,7,ms
:core:datastore-proto:compileDemoReleaseKotlin,Incremental compilation in daemon,5486.42,5417.6,5542,5433,5932,5928,ms
:core:datastore-proto:compileDemoReleaseKotlin,Task action before worker execution,29.62,29.46,24,24,55,46,ms
:core:datastore-proto:compileDemoReleaseKotlin,Sources compilation round,5164.62,5097.14,5188,5116,5618,5612,ms
:core:datastore-proto:compileDemoReleaseKotlin,Connect to Kotlin daemon,26.46,24.66,24,23,37,34,ms
:core:datastore-proto:compileDemoReleaseKotlin,Clear jar cache,2.86,2.94,3,3,6,6,ms
:core:datastore-proto:compileDemoReleaseKotlin,Spent time before task action,71.28,69.54,71,69,92,86,ms
:core:datastore-proto:compileDemoReleaseKotlin,Compiler initialization time,90.02,82.24,78,73,174,147,ms
:core:datastore-proto:compileDemoReleaseKotlin,Calculate output size,4.32,4.84,4,4,8,9,ms
:core:datastore-proto:compileDemoReleaseKotlin,Compiler IR lowering,309.46,296.44,290,302,408,381,ms
:core:datastore-proto:compileDemoReleaseKotlin,Shrink current classpath snapshot non-incrementally,95.12,99.16,92,96,135,147,ms
:core:datastore-proto:compileDemoReleaseKotlin,Run compilation,5525.28,5454.62,5584,5468,5959,5967,ms
:core:datastore-proto:compileDemoReleaseKotlin,Total size of the cache directory,585.4,585.4,585,585,585,585,KB
:core:datastore-proto:compileDemoReleaseKotlin,Number of lines analyzed,843,843,843,843,843,843,
:core:datastore-proto:compileDemoReleaseKotlin,Size of classpath snapshot,1.9,1.9,2,2,2,2,MB
:core:datastore-proto:compileDemoReleaseKotlin,Number of lines for code generation,843,843,843,843,843,843,
:core:datastore-proto:compileDemoReleaseKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore-proto:compileDemoReleaseKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore-proto:compileDemoReleaseKotlin,Code generation lines per second,1064,1132,1042,1074,1259,1408,
:core:datastore-proto:compileDemoReleaseKotlin,Analysis lines per second,217,218,216,215,239,239,
:core:datastore-proto:compileDemoReleaseKotlin,Number of cache hits when loading classpath entry snapshots,6,6,6,6,6,6,
:core:datastore-proto:compileDemoReleaseKotlin,Compiler IR generation line number,843,843,843,843,843,843,
:core:datastore-proto:compileDemoReleaseKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore-proto:compileDemoReleaseKotlin,Number of cache misses when loading classpath entry snapshots,3,3,3,3,3,3,
:core:datastore-proto:compileDemoReleaseKotlin,Compiler IR translation line number,843,843,843,843,843,843,
:core:datastore-proto:compileDemoReleaseKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore-proto:compileDemoReleaseKotlin,Number of classpath entries,9,9,9,9,9,9,
:core:datastore-proto:compileDemoReleaseKotlin,Size of shrunk classpath snapshot,3.2,3.2,3,3,3,3,KB
:core:datastore-proto:compileDemoReleaseKotlin,Compiler IR lowering line number,843,843,843,843,843,843,
:core:datastore-proto:compileDemoReleaseKotlin,Write history file,4.67,4.0,6,4,6,4,ms
:core:datastore-proto:compileDemoReleaseKotlin,Save shrunk current classpath snapshot,2.83,3.5,3,4,5,8,ms
:core:datastore-proto:compileDemoReleaseKotlin,Store build info,1.5,2.0,2,2,2,2,ms
:core:datastore-proto:compileProdReleaseKotlin,Update caches,6.08,6.8,6,6,10,9,ms
:core:datastore-proto:compileProdReleaseKotlin,Total Gradle task time,1811.98,1920.42,1784,1928,2137,2276,ms
:core:datastore-proto:compileProdReleaseKotlin,Compiler code generation,182.44,198.92,182,203,236,284,ms
:core:datastore-proto:compileProdReleaseKotlin,Compiler code analysis,1147.82,1223.54,1103,1196,1373,1478,ms
:core:datastore-proto:compileProdReleaseKotlin,Shrink and save current classpath snapshot after compilation,27.66,29.4,23,24,45,39,ms
:core:datastore-proto:compileProdReleaseKotlin,Compiler IR generation,101.36,113.48,100,111,146,147,ms
:core:datastore-proto:compileProdReleaseKotlin,Load current classpath snapshot,3.56,4.48,2,5,8,8,ms
:core:datastore-proto:compileProdReleaseKotlin,Run compilation in Gradle worker,1653.8,1761.28,1625,1740,1940,2114,ms
:core:datastore-proto:compileProdReleaseKotlin,Compiler IR translation,106.62,120.2,106,113,132,178,ms
:core:datastore-proto:compileProdReleaseKotlin,Start gradle worker,23.36,19.9,14,12,55,31,ms
:core:datastore-proto:compileProdReleaseKotlin,Incremental compilation in daemon,1594.2,1698.52,1577,1684,1893,1992,ms
:core:datastore-proto:compileProdReleaseKotlin,Task action before worker execution,31.36,30.66,29,31,49,44,ms
:core:datastore-proto:compileProdReleaseKotlin,Sources compilation round,1466.14,1570.38,1447,1562,1728,1828,ms
:core:datastore-proto:compileProdReleaseKotlin,Connect to Kotlin daemon,19.42,22.54,13,12,27,24,ms
:core:datastore-proto:compileProdReleaseKotlin,Spent time before task action,16.78,17.92,15,16,26,28,ms
:core:datastore-proto:compileProdReleaseKotlin,Compiler initialization time,21.98,20.5,20,20,32,31,ms
:core:datastore-proto:compileProdReleaseKotlin,Calculate output size,2.68,2.98,2,2,6,6,ms
:core:datastore-proto:compileProdReleaseKotlin,Compiler IR lowering,80.48,85.0,79,83,104,110,ms
:core:datastore-proto:compileProdReleaseKotlin,Shrink current classpath snapshot non-incrementally,26.92,28.9,22,23,44,37,ms
:core:datastore-proto:compileProdReleaseKotlin,Run compilation,1628.28,1733.36,1610,1706,1918,2070,ms
:core:datastore-proto:compileProdReleaseKotlin,Total size of the cache directory,585.4,585.4,585,585,585,585,KB
:core:datastore-proto:compileProdReleaseKotlin,Number of lines analyzed,843,843,843,843,843,843,
:core:datastore-proto:compileProdReleaseKotlin,Size of classpath snapshot,1.9,1.9,2,2,2,2,MB
:core:datastore-proto:compileProdReleaseKotlin,Number of lines for code generation,843,843,843,843,843,843,
:core:datastore-proto:compileProdReleaseKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore-proto:compileProdReleaseKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore-proto:compileProdReleaseKotlin,Code generation lines per second,4908,4589,4632,4163,6798,6560,
:core:datastore-proto:compileProdReleaseKotlin,Analysis lines per second,753,705,764,705,915,846,
:core:datastore-proto:compileProdReleaseKotlin,Number of cache hits when loading classpath entry snapshots,9,9,9,9,9,9,
:core:datastore-proto:compileProdReleaseKotlin,Compiler IR generation line number,843,843,843,843,843,843,
:core:datastore-proto:compileProdReleaseKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore-proto:compileProdReleaseKotlin,Compiler IR translation line number,843,843,843,843,843,843,
:core:datastore-proto:compileProdReleaseKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore-proto:compileProdReleaseKotlin,Number of classpath entries,9,9,9,9,9,9,
:core:datastore-proto:compileProdReleaseKotlin,Size of shrunk classpath snapshot,3.2,3.2,3,3,3,3,KB
:core:datastore-proto:compileProdReleaseKotlin,Compiler IR lowering line number,843,843,843,843,843,843,
:core:datastore-proto:compileProdReleaseKotlin,Clear jar cache,4.29,3.0,2,1,9,5,ms
:core:datastore-proto:compileProdReleaseKotlin,Save shrunk current classpath snapshot,3.67,2.33,2,1,8,5,ms
:core:datastore-proto:compileProdReleaseKotlin,Write history file,2.5,2.0,3,2,4,3,ms
:core:datastore-proto:compileProdReleaseKotlin,Store build info,3.0,7.0,3,7,3,7,ms
:core:datastore-proto:compileProdReleaseKotlin,Clear output,2.5,1.5,3,2,3,2,ms
:core:datastore-test:compileDemoReleaseKotlin,Total Gradle task time,899.66,844.18,788,778,1396,1069,ms
:core:datastore-test:compileDemoReleaseKotlin,Compiler code generation,89.56,100.22,88,97,130,140,ms
:core:datastore-test:compileDemoReleaseKotlin,Compiler code analysis,206.74,232.58,208,225,257,306,ms
:core:datastore-test:compileDemoReleaseKotlin,Shrink and save current classpath snapshot after compilation,31.4,33.56,30,30,50,50,ms
:core:datastore-test:compileDemoReleaseKotlin,Compiler IR generation,31.72,34.16,31,32,49,45,ms
:core:datastore-test:compileDemoReleaseKotlin,Load current classpath snapshot,4.38,4.62,4,4,10,9,ms
:core:datastore-test:compileDemoReleaseKotlin,Run compilation in Gradle worker,543.06,600.98,538,570,653,778,ms
:core:datastore-test:compileDemoReleaseKotlin,Compiler IR translation,43.12,51.62,44,51,63,69,ms
:core:datastore-test:compileDemoReleaseKotlin,Start gradle worker,208.28,90.9,82,73,692,136,ms
:core:datastore-test:compileDemoReleaseKotlin,Incremental compilation in daemon,491.42,544.82,497,516,601,695,ms
:core:datastore-test:compileDemoReleaseKotlin,Task action before worker execution,27.2,31.12,23,27,35,35,ms
:core:datastore-test:compileDemoReleaseKotlin,Sources compilation round,386.68,436.08,395,424,474,559,ms
:core:datastore-test:compileDemoReleaseKotlin,Connect to Kotlin daemon,20.0,18.1,15,14,24,25,ms
:core:datastore-test:compileDemoReleaseKotlin,Spent time before task action,30.92,25.66,24,25,50,39,ms
:core:datastore-test:compileDemoReleaseKotlin,Compiler initialization time,39.28,42.3,38,43,52,58,ms
:core:datastore-test:compileDemoReleaseKotlin,Calculate output size,2.18,1.92,1,1,5,4,ms
:core:datastore-test:compileDemoReleaseKotlin,Compiler IR lowering,57.34,65.46,57,63,84,89,ms
:core:datastore-test:compileDemoReleaseKotlin,Shrink current classpath snapshot non-incrementally,29.9,31.76,28,29,46,46,ms
:core:datastore-test:compileDemoReleaseKotlin,Run compilation,520.06,579.96,521,548,631,754,ms
:core:datastore-test:compileDemoReleaseKotlin,Total size of the cache directory,445.2,445.2,445,445,445,445,KB
:core:datastore-test:compileDemoReleaseKotlin,Number of lines analyzed,70,70,70,70,70,70,
:core:datastore-test:compileDemoReleaseKotlin,Size of classpath snapshot,3.0,3.0,3,3,3,3,MB
:core:datastore-test:compileDemoReleaseKotlin,Number of lines for code generation,70,70,70,70,70,70,
:core:datastore-test:compileDemoReleaseKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore-test:compileDemoReleaseKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore-test:compileDemoReleaseKotlin,Code generation lines per second,890,736,800,725,1620,981,
:core:datastore-test:compileDemoReleaseKotlin,Analysis lines per second,353,314,337,311,477,403,
:core:datastore-test:compileDemoReleaseKotlin,Number of cache hits when loading classpath entry snapshots,55,55,55,55,55,55,
:core:datastore-test:compileDemoReleaseKotlin,Compiler IR generation line number,70,70,70,70,70,70,
:core:datastore-test:compileDemoReleaseKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore-test:compileDemoReleaseKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:core:datastore-test:compileDemoReleaseKotlin,Compiler IR translation line number,70,70,70,70,70,70,
:core:datastore-test:compileDemoReleaseKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore-test:compileDemoReleaseKotlin,Number of classpath entries,56,56,56,56,56,56,
:core:datastore-test:compileDemoReleaseKotlin,Size of shrunk classpath snapshot,18.2,18.2,18,18,18,18,KB
:core:datastore-test:compileDemoReleaseKotlin,Compiler IR lowering line number,70,70,70,70,70,70,
:core:datastore-test:compileDemoReleaseKotlin,Update caches,3.07,2.18,3,2,7,3,ms
:core:datastore-test:compileDemoReleaseKotlin,Clear output,3.33,1.8,3,1,4,4,ms
:core:datastore-test:compileDemoReleaseKotlin,Clear jar cache,3.14,2.33,3,2,5,4,ms
:core:datastore-test:compileDemoReleaseKotlin,Store build info,6.0,3.0,6,3,6,5,ms
:core:datastore-test:compileDemoReleaseKotlin,Save shrunk current classpath snapshot,3.0,3.75,3,3,4,6,ms
:core:datastore-test:compileDemoReleaseKotlin,Clear outputs on rebuild,1.0,,1,,1,,ms
:core:datastore-test:compileDemoReleaseKotlin,Write history file,3.0,,3,,3,,ms
:core:datastore-test:compileProdReleaseKotlin,Total Gradle task time,676.7,711.6,613,654,1104,946,ms
:core:datastore-test:compileProdReleaseKotlin,Compiler code generation,73.4,88.04,72,76,104,112,ms
:core:datastore-test:compileProdReleaseKotlin,Compiler code analysis,177.78,205.74,175,203,235,288,ms
:core:datastore-test:compileProdReleaseKotlin,Shrink and save current classpath snapshot after compilation,28.62,28.54,28,27,42,45,ms
:core:datastore-test:compileProdReleaseKotlin,Compiler IR generation,25.64,40.28,25,26,41,42,ms
:core:datastore-test:compileProdReleaseKotlin,Load current classpath snapshot,3.36,3.14,2,3,6,7,ms
:core:datastore-test:compileProdReleaseKotlin,Run compilation in Gradle worker,478.22,581.58,471,511,634,798,ms
:core:datastore-test:compileProdReleaseKotlin,Compiler IR translation,40.16,44.54,45,44,54,65,ms
:core:datastore-test:compileProdReleaseKotlin,Start gradle worker,57.43,4.6,3,4,432,8,ms
:core:datastore-test:compileProdReleaseKotlin,Incremental compilation in daemon,435.2,505.0,417,473,584,719,ms
:core:datastore-test:compileProdReleaseKotlin,Task action before worker execution,28.62,29.04,27,26,35,37,ms
:core:datastore-test:compileProdReleaseKotlin,Sources compilation round,336.52,390.08,327,372,420,547,ms
:core:datastore-test:compileProdReleaseKotlin,Connect to Kotlin daemon,11.36,12.52,11,11,17,22,ms
:core:datastore-test:compileProdReleaseKotlin,Spent time before task action,27.24,22.62,23,23,32,31,ms
:core:datastore-test:compileProdReleaseKotlin,Compiler initialization time,38.06,43.46,35,41,55,60,ms
:core:datastore-test:compileProdReleaseKotlin,Calculate output size,2.44,2.28,1,1,5,5,ms
:core:datastore-test:compileProdReleaseKotlin,Compiler IR lowering,47.3,47.36,48,47,67,73,ms
:core:datastore-test:compileProdReleaseKotlin,Shrink current classpath snapshot non-incrementally,27.54,26.96,27,25,38,44,ms
:core:datastore-test:compileProdReleaseKotlin,Run compilation,464.1,565.28,457,498,608,779,ms
:core:datastore-test:compileProdReleaseKotlin,Total size of the cache directory,445.2,445.2,445,445,445,445,KB
:core:datastore-test:compileProdReleaseKotlin,Number of lines analyzed,70,70,70,70,70,70,
:core:datastore-test:compileProdReleaseKotlin,Size of classpath snapshot,3.0,3.0,3,3,3,3,MB
:core:datastore-test:compileProdReleaseKotlin,Number of lines for code generation,70,70,70,70,70,70,
:core:datastore-test:compileProdReleaseKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore-test:compileProdReleaseKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore-test:compileProdReleaseKotlin,Code generation lines per second,1071,1074,979,927,1662,1794,
:core:datastore-test:compileProdReleaseKotlin,Analysis lines per second,421,372,402,345,598,555,
:core:datastore-test:compileProdReleaseKotlin,Number of cache hits when loading classpath entry snapshots,56,56,56,56,56,56,
:core:datastore-test:compileProdReleaseKotlin,Compiler IR generation line number,70,70,70,70,70,70,
:core:datastore-test:compileProdReleaseKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore-test:compileProdReleaseKotlin,Compiler IR translation line number,70,70,70,70,70,70,
:core:datastore-test:compileProdReleaseKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore-test:compileProdReleaseKotlin,Number of classpath entries,56,56,56,56,56,56,
:core:datastore-test:compileProdReleaseKotlin,Size of shrunk classpath snapshot,18.2,18.2,18,18,18,18,KB
:core:datastore-test:compileProdReleaseKotlin,Compiler IR lowering line number,70,70,70,70,70,70,
:core:datastore-test:compileProdReleaseKotlin,Update caches,3.77,3.33,3,3,10,8,ms
:core:datastore-test:compileProdReleaseKotlin,Save shrunk current classpath snapshot,2.0,4.0,2,3,3,8,ms
:core:datastore-test:compileProdReleaseKotlin,Clear jar cache,2.67,3.18,3,3,4,8,ms
:core:datastore-test:compileProdReleaseKotlin,Write history file,3.0,2.5,3,3,3,3,ms
:core:datastore-test:compileProdReleaseKotlin,Clear output,3.0,4.0,3,2,3,11,ms
:core:datastore-test:compileProdReleaseKotlin,Clear outputs on rebuild,2.0,1.0,2,1,2,1,ms
:core:data-test:compileDemoReleaseKotlin,Update caches,3.64,3.12,4,2,7,7,ms
:core:data-test:compileDemoReleaseKotlin,Total Gradle task time,1196.42,1361.08,1130,1336,1590,1837,ms
:core:data-test:compileDemoReleaseKotlin,Compiler code generation,210.14,235.0,205,232,292,315,ms
:core:data-test:compileDemoReleaseKotlin,Compiler code analysis,427.14,515.56,438,500,531,665,ms
:core:data-test:compileDemoReleaseKotlin,Shrink and save current classpath snapshot after compilation,39.5,43.42,38,41,57,61,ms
:core:data-test:compileDemoReleaseKotlin,Compiler IR generation,107.04,117.1,103,111,153,174,ms
:core:data-test:compileDemoReleaseKotlin,Load current classpath snapshot,8.48,8.84,8,9,14,15,ms
:core:data-test:compileDemoReleaseKotlin,Run compilation in Gradle worker,909.4,1047.4,894,1028,1089,1253,ms
:core:data-test:compileDemoReleaseKotlin,Compiler IR translation,55.46,66.22,57,63,79,87,ms
:core:data-test:compileDemoReleaseKotlin,Save shrunk current classpath snapshot,2.89,3.25,3,3,6,6,ms
:core:data-test:compileDemoReleaseKotlin,Start gradle worker,121.76,145.08,9,16,403,524,ms
:core:data-test:compileDemoReleaseKotlin,Incremental compilation in daemon,862.9,998.42,845,965,1034,1183,ms
:core:data-test:compileDemoReleaseKotlin,Task action before worker execution,32.68,32.04,30,30,50,52,ms
:core:data-test:compileDemoReleaseKotlin,Sources compilation round,744.8,876.66,728,849,926,1046,ms
:core:data-test:compileDemoReleaseKotlin,Connect to Kotlin daemon,13.42,17.22,13,15,20,23,ms
:core:data-test:compileDemoReleaseKotlin,Spent time before task action,37.04,31.02,32,29,47,46,ms
:core:data-test:compileDemoReleaseKotlin,Compiler initialization time,42.46,48.84,38,47,54,67,ms
:core:data-test:compileDemoReleaseKotlin,Calculate output size,2.16,2.38,1,1,4,4,ms
:core:data-test:compileDemoReleaseKotlin,Compiler IR lowering,102.62,117.34,97,112,147,175,ms
:core:data-test:compileDemoReleaseKotlin,Shrink current classpath snapshot non-incrementally,36.96,40.4,35,37,56,60,ms
:core:data-test:compileDemoReleaseKotlin,Run compilation,892.78,1026.12,872,999,1070,1222,ms
:core:data-test:compileDemoReleaseKotlin,Total size of the cache directory,480.2,480.2,480,480,480,480,KB
:core:data-test:compileDemoReleaseKotlin,Number of lines analyzed,405,405,405,405,405,405,
:core:data-test:compileDemoReleaseKotlin,Size of classpath snapshot,3.4,3.4,3,3,3,3,MB
:core:data-test:compileDemoReleaseKotlin,Number of lines for code generation,405,405,405,405,405,405,
:core:data-test:compileDemoReleaseKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:data-test:compileDemoReleaseKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:data-test:compileDemoReleaseKotlin,Code generation lines per second,2087,1860,1980,1749,2876,2522,
:core:data-test:compileDemoReleaseKotlin,Analysis lines per second,983,817,925,811,1197,982,
:core:data-test:compileDemoReleaseKotlin,Number of cache hits when loading classpath entry snapshots,51,51,51,51,51,51,
:core:data-test:compileDemoReleaseKotlin,Compiler IR generation line number,405,405,405,405,405,405,
:core:data-test:compileDemoReleaseKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:data-test:compileDemoReleaseKotlin,Number of cache misses when loading classpath entry snapshots,7,7,7,7,7,7,
:core:data-test:compileDemoReleaseKotlin,Compiler IR translation line number,405,405,405,405,405,405,
:core:data-test:compileDemoReleaseKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
