Category,Metric,varianta_main Mean,variantb_agp_8_10_1 Mean,varianta_main P50,variantb_agp_8_10_1 P50,varianta_main P90,variantb_agp_8_10_1 P90,Unit
Task Path,:feature:settings:verifyProdReleaseResources,2565,2977,2537,2906,3043,3781,ms
Task Path,:feature:topic:mergeDemoReleaseResources,1205,1399,1209,1415,1373,1599,ms
Task Path,:feature:topic:mergeProdReleaseResources,1429,1677,1440,1676,1685,2095,ms
Task Path,:feature:topic:verifyDemoReleaseResources,1462,1712,1448,1737,1755,2107,ms
Task Path,:app-nia-catalog:l8DexDesugarLibRelease,45536,52191,45402,52048,48003,56634,ms
Task Path,:feature:topic:verifyProdReleaseResources,1568,1780,1512,1736,1998,2315,ms
Task Path,:sync:sync-test:kspDemoReleaseKotlin,2568,2835,2507,2805,2983,3321,ms
Task Path,:app-nia-catalog:compileReleaseArtProfile,1961,1874,1935,1860,2598,2502,ms
Task Path,:sync:sync-test:kspProdReleaseKotlin,2446,2583,2380,2485,2981,3068,ms
Task Path,:app-nia-catalog:packageRelease,3549,3220,3340,3187,4739,3806,ms
Task Path,:sync:sync-test:verifyProdReleaseResources,1016,1120,1002,1093,1200,1359,ms
Task Path,:app:minifyDemoReleaseWithR8,261239,264534,258915,263027,272361,278852,ms
Task Path,:app:l8DexDesugarLibDemoRelease,15093,17841,14954,17551,16784,20760,ms
Task Path,:app:minifyProdReleaseWithR8,96139,93889,94679,92174,107839,102790,ms
Task Path,:app:l8DexDesugarLibProdRelease,7234,7417,7203,7176,8020,8309,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,11.11,10.99,11.08,10.9,11.81,11.54,Gb
Build process cpu,Max,96.975,97.0,97.0,97.0,97,98,%
Build processes memory,Max,5.57,5.54,5.58,5.55,5.63,5.61,Gb
Build child processes cpu,Max,93.1,93.2,93.0,93.0,94,95,%
Build child processes memory,Max,4.73,4.65,4.68,4.53,5.54,5.53,Gb
