Category,Metric,varianta_main Mean,variantb_9.5.0-rc-1 Mean,varianta_main P50,variantb_9.5.0-rc-1 P50,varianta_main P90,variantb_9.5.0-rc-1 P90,Unit
:domain:log-login:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:domain:log-login:compileDebugKotlin,Number of lines analyzed,253,253,253,253,253,253,
:domain:log-login:compileDebugKotlin,Analysis lines per second,673,683,693,676,823,838,
:domain:log-login:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,137,137,137,137,137,137,
:domain:log-login:compileDebugKotlin,Size of shrunk classpath snapshot,28.3,28.3,28,28,28,28,KB
:domain:log-login:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:domain:log-login:compileDebugKotlin,Clear outputs on rebuild,2.5,,3,,4,,ms
:domain:log-login:compileDebugKotlin,Store build info,3.5,1.0,4,1,5,1,ms
:domain:log-login:compileDebugKotlin,Save shrunk current classpath snapshot,2.5,3.0,3,3,3,3,ms
:domain:log-login:compileDebugKotlin,Clear output,1.5,,2,,2,,ms
:domain:map-login:compileDebugKotlin,Load current classpath snapshot,5.12,4.86,4,3,9,9,ms
:domain:map-login:compileDebugKotlin,Compiler backend,100.74,113.8,86,84,140,174,ms
:domain:map-login:compileDebugKotlin,Spent time before task action,34.76,33.78,34,35,47,50,ms
:domain:map-login:compileDebugKotlin,Compiler initialization time,52.78,56.78,45,48,80,83,ms
:domain:map-login:compileDebugKotlin,Compiler code generation,246.7,288.8,224,242,356,450,ms
:domain:map-login:compileDebugKotlin,Total Gradle task time,1632.56,1665.18,1612,1631,2063,2007,ms
:domain:map-login:compileDebugKotlin,Update caches,2.4,2.6,2,2,4,5,ms
:domain:map-login:compileDebugKotlin,Run compilation,1495.44,1539.34,1470,1523,1934,1882,ms
:domain:map-login:compileDebugKotlin,Run compilation in Gradle worker,1507.5,1552.32,1486,1533,1937,1887,ms
:domain:map-login:compileDebugKotlin,Compiler translation to IR,490.06,468.2,464,445,806,587,ms
:domain:map-login:compileDebugKotlin,Remove duplicate classes,4.4,4.1,4,3,8,8,ms
:domain:map-login:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,37.34,34.28,31,26,54,60,ms
:domain:map-login:compileDebugKotlin,Task action before worker execution,12.14,11.88,12,11,20,19,ms
:domain:map-login:compileDebugKotlin,Sources compilation round,1362.22,1398.42,1353,1381,1775,1767,ms
:domain:map-login:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,30.26,27.28,24,21,43,50,ms
:domain:map-login:compileDebugKotlin,Calculate output size,1.78,1.7,1,1,4,4,ms
:domain:map-login:compileDebugKotlin,Compiler code analysis,401.38,416.58,392,410,493,532,ms
:domain:map-login:compileDebugKotlin,Compiler IR lowering,145.46,174.48,137,143,213,231,ms
:domain:map-login:compileDebugKotlin,Incremental compilation in daemon,1468.88,1499.62,1446,1485,1918,1849,ms
:domain:map-login:compileDebugKotlin,Total size of the cache directory,555.5,555.5,556,556,556,556,KB
:domain:map-login:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:domain:map-login:compileDebugKotlin,Size of classpath snapshot,7.5,7.5,8,8,8,8,MB
:domain:map-login:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:domain:map-login:compileDebugKotlin,Code generation lines per second,1242,1137,1265,1171,1678,1599,
:domain:map-login:compileDebugKotlin,Number of classpath entries,153,153,153,153,153,153,
:domain:map-login:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:domain:map-login:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:domain:map-login:compileDebugKotlin,Number of lines analyzed,283,283,283,283,283,283,
:domain:map-login:compileDebugKotlin,Analysis lines per second,720,698,721,690,844,851,
:domain:map-login:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,152,152,152,152,152,152,
:domain:map-login:compileDebugKotlin,Size of shrunk classpath snapshot,45.2,45.2,45,45,45,45,KB
:domain:map-login:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:domain:map-login:compileDebugKotlin,Start gradle worker,1.72,1.81,1,1,3,4,ms
:domain:map-login:compileDebugKotlin,Clear output,1.0,5.33,1,6,1,6,ms
:domain:map-login:compileDebugKotlin,Clear outputs on rebuild,4.5,,5,,8,,ms
:domain:map-login:compileDebugKotlin,Store build info,1.33,,1,,2,,ms
:domain:map-login:compileDebugKotlin,Save shrunk current classpath snapshot,2.25,3.0,3,3,3,3,ms
:domain:media-login:compileDebugKotlin,Load current classpath snapshot,4.18,3.64,4,3,6,9,ms
:domain:media-login:compileDebugKotlin,Compiler backend,77.66,80.54,63,72,118,125,ms
:domain:media-login:compileDebugKotlin,Spent time before task action,34.22,32.48,33,32,51,44,ms
:domain:media-login:compileDebugKotlin,Compiler initialization time,50.34,44.42,42,38,64,70,ms
:domain:media-login:compileDebugKotlin,Compiler code generation,242.86,271.1,206,237,371,440,ms
:domain:media-login:compileDebugKotlin,Total Gradle task time,1613.28,1693.6,1530,1657,2031,2098,ms
:domain:media-login:compileDebugKotlin,Update caches,2.14,2.1,2,2,4,5,ms
:domain:media-login:compileDebugKotlin,Run compilation,1478.62,1566.28,1406,1519,1894,1980,ms
:domain:media-login:compileDebugKotlin,Run compilation in Gradle worker,1495.14,1580.2,1426,1545,1905,1989,ms
:domain:media-login:compileDebugKotlin,Compiler translation to IR,494.84,536.42,459,486,648,941,ms
:domain:media-login:compileDebugKotlin,Remove duplicate classes,3.32,2.86,2,2,5,6,ms
:domain:media-login:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,27.88,40.56,25,24,42,58,ms
:domain:media-login:compileDebugKotlin,Task action before worker execution,12.16,11.62,12,10,17,20,ms
:domain:media-login:compileDebugKotlin,Sources compilation round,1344.76,1433.54,1292,1392,1751,1771,ms
:domain:media-login:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,22.3,29.76,19,19,35,44,ms
:domain:media-login:compileDebugKotlin,Calculate output size,4.11,1.94,1,1,4,4,ms
:domain:media-login:compileDebugKotlin,Compiler code analysis,396.68,420.46,378,389,520,551,ms
:domain:media-login:compileDebugKotlin,Compiler IR lowering,164.76,190.08,143,162,266,274,ms
:domain:media-login:compileDebugKotlin,Incremental compilation in daemon,1448.3,1537.74,1385,1482,1857,1959,ms
:domain:media-login:compileDebugKotlin,Total size of the cache directory,549.3,549.3,549,549,549,549,KB
:domain:media-login:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:domain:media-login:compileDebugKotlin,Size of classpath snapshot,5.5,5.5,6,6,6,6,MB
:domain:media-login:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:domain:media-login:compileDebugKotlin,Code generation lines per second,1304,1195,1388,1202,1746,1730,
:domain:media-login:compileDebugKotlin,Number of classpath entries,98,98,98,98,98,98,
:domain:media-login:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:domain:media-login:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:domain:media-login:compileDebugKotlin,Number of lines analyzed,286,286,286,286,286,286,
:domain:media-login:compileDebugKotlin,Analysis lines per second,755,718,756,735,943,872,
:domain:media-login:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,97,97,97,97,97,97,
:domain:media-login:compileDebugKotlin,Size of shrunk classpath snapshot,30.2,30.2,30,30,30,30,KB
:domain:media-login:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:domain:media-login:compileDebugKotlin,Start gradle worker,2.25,1.53,2,1,4,3,ms
:domain:media-login:compileDebugKotlin,Store build info,4.5,,5,,8,,ms
:domain:media-login:compileDebugKotlin,Clear outputs on rebuild,2.0,2.0,2,2,3,2,ms
:domain:media-login:compileDebugKotlin,Save shrunk current classpath snapshot,3.0,5.0,3,4,3,9,ms
:domain:message-identity:compileDebugKotlin,Load current classpath snapshot,4.86,5.28,4,5,9,9,ms
:domain:message-identity:compileDebugKotlin,Compiler backend,71.28,73.24,65,66,102,117,ms
:domain:message-identity:compileDebugKotlin,Spent time before task action,32.62,33.52,31,34,48,48,ms
:domain:message-identity:compileDebugKotlin,Compiler initialization time,39.98,44.52,40,43,58,77,ms
:domain:message-identity:compileDebugKotlin,Compiler code generation,235.2,239.88,229,229,333,334,ms
:domain:message-identity:compileDebugKotlin,Total Gradle task time,1583.8,1695.06,1542,1610,1969,2167,ms
:domain:message-identity:compileDebugKotlin,Update caches,1.62,2.0,1,1,4,4,ms
:domain:message-identity:compileDebugKotlin,Run compilation,1466.5,1575.84,1403,1510,1837,2058,ms
:domain:message-identity:compileDebugKotlin,Run compilation in Gradle worker,1471.2,1584.54,1410,1512,1839,2061,ms
:domain:message-identity:compileDebugKotlin,Compiler translation to IR,503.98,576.02,460,499,693,1023,ms
:domain:message-identity:compileDebugKotlin,Remove duplicate classes,4.34,4.36,3,4,8,8,ms
:domain:message-identity:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,36.82,36.5,33,36,53,53,ms
:domain:message-identity:compileDebugKotlin,Start gradle worker,1.5,1.64,1,1,3,4,ms
:domain:message-identity:compileDebugKotlin,Task action before worker execution,11.76,11.68,10,11,17,18,ms
:domain:message-identity:compileDebugKotlin,Sources compilation round,1332.0,1429.1,1288,1373,1699,1942,ms
:domain:message-identity:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,30.06,29.22,26,28,44,44,ms
:domain:message-identity:compileDebugKotlin,Calculate output size,1.96,5.66,1,1,4,5,ms
:domain:message-identity:compileDebugKotlin,Compiler code analysis,384.38,389.02,370,376,489,489,ms
:domain:message-identity:compileDebugKotlin,Compiler IR lowering,163.48,166.12,152,148,247,233,ms
:domain:message-identity:compileDebugKotlin,Incremental compilation in daemon,1442.68,1539.56,1379,1462,1809,2038,ms
:domain:message-identity:compileDebugKotlin,Total size of the cache directory,547.5,547.5,548,548,548,548,KB
:domain:message-identity:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:domain:message-identity:compileDebugKotlin,Size of classpath snapshot,6.9,6.9,7,7,7,7,MB
:domain:message-identity:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:domain:message-identity:compileDebugKotlin,Code generation lines per second,1307,1282,1239,1241,1794,1820,
:domain:message-identity:compileDebugKotlin,Number of classpath entries,138,138,138,138,138,138,
:domain:message-identity:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:domain:message-identity:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:domain:message-identity:compileDebugKotlin,Number of lines analyzed,284,284,284,284,284,284,
:domain:message-identity:compileDebugKotlin,Analysis lines per second,773,750,767,754,958,881,
:domain:message-identity:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,137,137,137,137,137,137,
:domain:message-identity:compileDebugKotlin,Size of shrunk classpath snapshot,30.4,30.4,30,30,30,30,KB
:domain:message-identity:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:domain:message-identity:compileDebugKotlin,Save shrunk current classpath snapshot,2.75,2.0,3,2,3,3,ms
:domain:message-identity:compileDebugKotlin,Store build info,3.0,,2,,5,,ms
:domain:message-identity:compileDebugKotlin,Clear outputs on rebuild,1.0,2.0,1,2,1,2,ms
:domain:message-identity:compileDebugKotlin,Clear output,2.0,,2,,2,,ms
:domain:metric-identity:compileDebugKotlin,Load current classpath snapshot,4.68,4.44,3,4,8,8,ms
:domain:metric-identity:compileDebugKotlin,Compiler backend,71.9,82.0,62,65,110,124,ms
:domain:metric-identity:compileDebugKotlin,Spent time before task action,32.34,32.48,30,31,47,47,ms
:domain:metric-identity:compileDebugKotlin,Compiler initialization time,49.78,49.6,44,48,74,77,ms
:domain:metric-identity:compileDebugKotlin,Compiler code generation,228.54,236.32,212,207,327,341,ms
:domain:metric-identity:compileDebugKotlin,Total Gradle task time,1538.68,1583.26,1506,1590,1873,2003,ms
:domain:metric-identity:compileDebugKotlin,Update caches,1.98,2.5,2,2,4,4,ms
:domain:metric-identity:compileDebugKotlin,Run compilation,1410.12,1443.64,1369,1429,1737,1856,ms
:domain:metric-identity:compileDebugKotlin,Run compilation in Gradle worker,1426.4,1457.14,1388,1432,1740,1873,ms
:domain:metric-identity:compileDebugKotlin,Compiler translation to IR,470.02,455.46,458,437,643,644,ms
:domain:metric-identity:compileDebugKotlin,Remove duplicate classes,3.94,3.6,3,3,8,6,ms
:domain:metric-identity:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,36.06,40.2,25,30,59,56,ms
:domain:metric-identity:compileDebugKotlin,Start gradle worker,1.79,1.96,1,1,3,4,ms
:domain:metric-identity:compileDebugKotlin,Task action before worker execution,11.6,12.84,10,13,19,20,ms
:domain:metric-identity:compileDebugKotlin,Sources compilation round,1267.3,1294.48,1248,1290,1583,1582,ms
:domain:metric-identity:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,29.56,33.86,20,23,44,44,ms
:domain:metric-identity:compileDebugKotlin,Calculate output size,2.23,2.0,1,1,4,4,ms
:domain:metric-identity:compileDebugKotlin,Compiler code analysis,362.34,392.46,357,373,443,496,ms
:domain:metric-identity:compileDebugKotlin,Compiler IR lowering,156.16,153.84,142,132,215,230,ms
:domain:metric-identity:compileDebugKotlin,Incremental compilation in daemon,1385.36,1410.68,1349,1401,1713,1813,ms
:domain:metric-identity:compileDebugKotlin,Total size of the cache directory,550.3,550.3,550,550,550,550,KB
:domain:metric-identity:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:domain:metric-identity:compileDebugKotlin,Size of classpath snapshot,6.0,6.0,6,6,6,6,MB
:domain:metric-identity:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:domain:metric-identity:compileDebugKotlin,Code generation lines per second,1189,1170,1190,1220,1577,1604,
:domain:metric-identity:compileDebugKotlin,Number of classpath entries,111,111,111,111,111,111,
:domain:metric-identity:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:domain:metric-identity:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:domain:metric-identity:compileDebugKotlin,Number of lines analyzed,253,253,253,253,253,253,
:domain:metric-identity:compileDebugKotlin,Analysis lines per second,714,681,709,677,882,864,
:domain:metric-identity:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,110,110,110,110,110,110,
:domain:metric-identity:compileDebugKotlin,Size of shrunk classpath snapshot,28.3,28.3,28,28,28,28,KB
:domain:metric-identity:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:domain:metric-identity:compileDebugKotlin,Clear outputs on rebuild,1.5,,2,,2,,ms
:domain:metric-identity:compileDebugKotlin,Store build info,2.0,,2,,3,,ms
:domain:metric-identity:compileDebugKotlin,Save shrunk current classpath snapshot,1.0,3.0,1,3,1,3,ms
:domain:metric-login:compileDebugKotlin,Load current classpath snapshot,6.62,5.06,5,5,9,9,ms
:domain:metric-login:compileDebugKotlin,Compiler backend,84.34,81.14,75,75,118,119,ms
:domain:metric-login:compileDebugKotlin,Spent time before task action,34.82,35.46,34,35,51,52,ms
:domain:metric-login:compileDebugKotlin,Compiler initialization time,49.66,50.98,47,47,72,87,ms
:domain:metric-login:compileDebugKotlin,Compiler code generation,259.44,254.18,247,244,356,346,ms
:domain:metric-login:compileDebugKotlin,Total Gradle task time,1677.62,1686.56,1619,1583,2093,2167,ms
:domain:metric-login:compileDebugKotlin,Update caches,2.6,2.74,2,2,5,5,ms
:domain:metric-login:compileDebugKotlin,Run compilation,1541.12,1550.92,1489,1463,1930,2016,ms
:domain:metric-login:compileDebugKotlin,Run compilation in Gradle worker,1552.88,1560.94,1500,1475,1932,2019,ms
:domain:metric-login:compileDebugKotlin,Compiler translation to IR,526.18,538.9,446,488,891,778,ms
:domain:metric-login:compileDebugKotlin,Remove duplicate classes,5.76,4.48,4,4,8,9,ms
:domain:metric-login:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,38.02,36.76,35,38,55,55,ms
:domain:metric-login:compileDebugKotlin,Start gradle worker,1.89,2.0,1,1,3,5,ms
:domain:metric-login:compileDebugKotlin,Task action before worker execution,12.0,13.38,12,12,17,22,ms
:domain:metric-login:compileDebugKotlin,Sources compilation round,1392.88,1419.48,1334,1335,1774,1845,ms
:domain:metric-login:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,29.4,29.74,26,29,46,44,ms
:domain:metric-login:compileDebugKotlin,Calculate output size,1.89,2.02,1,1,4,4,ms
:domain:metric-login:compileDebugKotlin,Compiler code analysis,400.98,403.98,372,386,522,517,ms
:domain:metric-login:compileDebugKotlin,Compiler IR lowering,174.52,172.5,158,175,236,231,ms
:domain:metric-login:compileDebugKotlin,Incremental compilation in daemon,1509.8,1527.8,1456,1446,1895,1988,ms
:domain:metric-login:compileDebugKotlin,Total size of the cache directory,549.8,549.8,550,550,550,550,KB
:domain:metric-login:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:domain:metric-login:compileDebugKotlin,Size of classpath snapshot,7.2,7.2,7,7,7,7,MB
:domain:metric-login:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:domain:metric-login:compileDebugKotlin,Code generation lines per second,1207,1196,1155,1172,1665,1590,
:domain:metric-login:compileDebugKotlin,Number of classpath entries,146,146,146,146,146,146,
:domain:metric-login:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:domain:metric-login:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:domain:metric-login:compileDebugKotlin,Number of lines analyzed,286,286,286,286,286,286,
:domain:metric-login:compileDebugKotlin,Analysis lines per second,744,737,767,740,923,920,
:domain:metric-login:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,145,145,145,145,145,145,
:domain:metric-login:compileDebugKotlin,Size of shrunk classpath snapshot,30.2,30.2,30,30,30,30,KB
:domain:metric-login:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:domain:metric-login:compileDebugKotlin,Clear output,3.2,2.67,3,3,5,4,ms
:domain:metric-login:compileDebugKotlin,Save shrunk current classpath snapshot,2.0,2.0,2,2,2,3,ms
:domain:network-identity:compileDebugKotlin,Load current classpath snapshot,5.72,5.16,6,5,9,9,ms
:domain:network-identity:compileDebugKotlin,Compiler backend,95.5,84.74,89,83,133,116,ms
:domain:network-identity:compileDebugKotlin,Spent time before task action,36.54,37.98,35,37,51,51,ms
:domain:network-identity:compileDebugKotlin,Compiler initialization time,55.34,59.28,49,55,91,83,ms
:domain:network-identity:compileDebugKotlin,Compiler code generation,287.7,265.98,281,250,406,362,ms
:domain:network-identity:compileDebugKotlin,Total Gradle task time,1761.82,1758.36,1709,1774,2128,2057,ms
:domain:network-identity:compileDebugKotlin,Update caches,2.6,2.22,2,2,5,4,ms
:domain:network-identity:compileDebugKotlin,Run compilation,1617.38,1620.32,1582,1597,1982,1957,ms
:domain:network-identity:compileDebugKotlin,Run compilation in Gradle worker,1628.62,1634.56,1588,1639,1985,1964,ms
:domain:network-identity:compileDebugKotlin,Compiler translation to IR,524.18,584.24,492,547,710,919,ms
:domain:network-identity:compileDebugKotlin,Remove duplicate classes,4.74,4.42,5,3,8,8,ms
:domain:network-identity:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,39.18,39.08,43,31,56,59,ms
:domain:network-identity:compileDebugKotlin,Start gradle worker,4.06,1.77,1,1,4,3,ms
:domain:network-identity:compileDebugKotlin,Task action before worker execution,13.92,11.44,14,10,21,18,ms
:domain:network-identity:compileDebugKotlin,Sources compilation round,1466.46,1472.6,1432,1468,1828,1807,ms
:domain:network-identity:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,31.0,31.72,34,24,45,46,ms
:domain:network-identity:compileDebugKotlin,Calculate output size,2.14,2.04,1,1,4,4,ms
:domain:network-identity:compileDebugKotlin,Compiler code analysis,403.94,397.26,370,390,494,501,ms
:domain:network-identity:compileDebugKotlin,Compiler IR lowering,191.6,180.78,185,150,288,293,ms
:domain:network-identity:compileDebugKotlin,Incremental compilation in daemon,1576.94,1593.42,1544,1570,1932,1924,ms
:domain:network-identity:compileDebugKotlin,Total size of the cache directory,557.7,557.7,558,558,558,558,KB
:domain:network-identity:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:domain:network-identity:compileDebugKotlin,Size of classpath snapshot,7.6,7.6,8,8,8,8,MB
:domain:network-identity:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:domain:network-identity:compileDebugKotlin,Code generation lines per second,1055,1143,1000,1123,1454,1575,
:domain:network-identity:compileDebugKotlin,Number of classpath entries,156,156,156,156,156,156,
:domain:network-identity:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:domain:network-identity:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:domain:network-identity:compileDebugKotlin,Number of lines analyzed,281,281,281,281,281,281,
:domain:network-identity:compileDebugKotlin,Analysis lines per second,742,720,760,720,919,853,
:domain:network-identity:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,155,155,155,155,155,155,
:domain:network-identity:compileDebugKotlin,Size of shrunk classpath snapshot,28.1,28.1,28,28,28,28,KB
:domain:network-identity:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:domain:network-identity:compileDebugKotlin,Clear output,3.0,1.0,3,1,5,1,ms
:domain:network-identity:compileDebugKotlin,Save shrunk current classpath snapshot,3.33,2.5,2,3,6,3,ms
:domain:network-identity:compileDebugKotlin,Store build info,2.5,1.5,3,2,4,2,ms
:domain:news-login:compileDebugKotlin,Load current classpath snapshot,5.16,5.42,5,5,9,10,ms
:domain:news-login:compileDebugKotlin,Compiler backend,90.78,94.5,81,86,127,147,ms
:domain:news-login:compileDebugKotlin,Spent time before task action,34.78,35.46,33,33,49,45,ms
:domain:news-login:compileDebugKotlin,Compiler initialization time,47.3,41.32,40,39,87,68,ms
:domain:news-login:compileDebugKotlin,Compiler code generation,273.06,286.16,245,253,376,394,ms
:domain:news-login:compileDebugKotlin,Total Gradle task time,1704.08,1845.84,1703,1777,2094,2257,ms
:domain:news-login:compileDebugKotlin,Update caches,2.34,2.82,2,2,5,6,ms
:domain:news-login:compileDebugKotlin,Run compilation,1576.6,1709.88,1583,1654,1942,2122,ms
:domain:news-login:compileDebugKotlin,Run compilation in Gradle worker,1585.98,1721.48,1585,1657,1944,2126,ms
:domain:news-login:compileDebugKotlin,Compiler translation to IR,502.14,610.36,485,583,634,963,ms
:domain:news-login:compileDebugKotlin,Remove duplicate classes,4.24,4.7,3,4,8,8,ms
:domain:news-login:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,33.54,36.9,29,33,53,58,ms
:domain:news-login:compileDebugKotlin,Start gradle worker,1.82,2.02,1,1,3,4,ms
:domain:news-login:compileDebugKotlin,Task action before worker execution,12.8,12.46,13,12,21,21,ms
:domain:news-login:compileDebugKotlin,Sources compilation round,1431.0,1561.94,1440,1521,1687,1969,ms
:domain:news-login:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,26.7,29.58,21,26,43,46,ms
:domain:news-login:compileDebugKotlin,Calculate output size,1.76,3.33,1,1,4,5,ms
:domain:news-login:compileDebugKotlin,Compiler code analysis,434.96,432.32,416,412,551,534,ms
:domain:news-login:compileDebugKotlin,Compiler IR lowering,181.8,191.22,172,163,254,302,ms
:domain:news-login:compileDebugKotlin,Incremental compilation in daemon,1543.76,1678.38,1558,1633,1846,2100,ms
:domain:news-login:compileDebugKotlin,Total size of the cache directory,550.7,550.7,551,551,551,551,KB
:domain:news-login:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:domain:news-login:compileDebugKotlin,Size of classpath snapshot,6.9,6.9,7,7,7,7,MB
:domain:news-login:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:domain:news-login:compileDebugKotlin,Code generation lines per second,1119,1069,1145,1113,1518,1412,
:domain:news-login:compileDebugKotlin,Number of classpath entries,138,138,138,138,138,138,
:domain:news-login:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:domain:news-login:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:domain:news-login:compileDebugKotlin,Number of lines analyzed,281,281,281,281,281,281,
:domain:news-login:compileDebugKotlin,Analysis lines per second,694,671,676,682,904,830,
:domain:news-login:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,137,137,137,137,137,137,
:domain:news-login:compileDebugKotlin,Size of shrunk classpath snapshot,28.1,28.1,28,28,28,28,KB
:domain:news-login:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:domain:news-login:compileDebugKotlin,Save shrunk current classpath snapshot,3.5,1.0,4,1,5,1,ms
:domain:news-login:compileDebugKotlin,Clear outputs on rebuild,2.0,1.0,2,1,2,1,ms
:domain:news-login:compileDebugKotlin,Store build info,2.5,3.0,3,2,3,6,ms
:domain:news-login:compileDebugKotlin,Clear output,2.0,,2,,2,,ms
:domain:note-login:compileDebugKotlin,Load current classpath snapshot,4.3,4.14,3,3,9,8,ms
:domain:note-login:compileDebugKotlin,Compiler backend,93.6,79.2,74,76,143,113,ms
:domain:note-login:compileDebugKotlin,Spent time before task action,30.72,30.78,31,31,44,44,ms
:domain:note-login:compileDebugKotlin,Compiler initialization time,48.38,47.74,44,45,72,72,ms
:domain:note-login:compileDebugKotlin,Compiler code generation,276.72,250.32,259,236,416,357,ms
:domain:note-login:compileDebugKotlin,Total Gradle task time,1606.54,1646.96,1580,1597,1922,2125,ms
:domain:note-login:compileDebugKotlin,Update caches,1.88,2.42,2,2,3,5,ms
:domain:note-login:compileDebugKotlin,Run compilation,1487.16,1530.98,1463,1479,1803,1990,ms
:domain:note-login:compileDebugKotlin,Run compilation in Gradle worker,1497.6,1541.02,1487,1490,1805,1993,ms
:domain:note-login:compileDebugKotlin,Compiler translation to IR,496.38,535.36,482,497,638,806,ms
:domain:note-login:compileDebugKotlin,Remove duplicate classes,3.36,3.32,2,3,7,6,ms
:domain:note-login:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,30.48,30.22,25,27,50,46,ms
:domain:note-login:compileDebugKotlin,Start gradle worker,1.64,1.83,1,1,3,4,ms
:domain:note-login:compileDebugKotlin,Task action before worker execution,11.14,12.12,11,12,16,18,ms
:domain:note-login:compileDebugKotlin,Sources compilation round,1363.78,1399.52,1348,1339,1663,1886,ms
:domain:note-login:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,24.24,24.1,19,20,41,37,ms
:domain:note-login:compileDebugKotlin,Calculate output size,1.68,1.98,1,1,4,4,ms
:domain:note-login:compileDebugKotlin,Compiler code analysis,383.42,412.68,364,388,507,520,ms
:domain:note-login:compileDebugKotlin,Compiler IR lowering,182.66,170.54,162,147,280,236,ms
:domain:note-login:compileDebugKotlin,Incremental compilation in daemon,1458.76,1496.78,1437,1447,1783,1963,ms
:domain:note-login:compileDebugKotlin,Total size of the cache directory,550.7,550.7,551,551,551,551,KB
:domain:note-login:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:domain:note-login:compileDebugKotlin,Size of classpath snapshot,6.2,6.2,6,6,6,6,MB
:domain:note-login:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:domain:note-login:compileDebugKotlin,Code generation lines per second,1102,1220,1087,1191,1487,1673,
:domain:note-login:compileDebugKotlin,Number of classpath entries,116,116,116,116,116,116,
